ATTACK_ID,DATE,LOCATION ,DESCRIPTION,DATA_SOURCES,TOTAL_DEATHS,TOTAL_CASUALITIES,CHILD_DEATHS,CHILD_CASUALTIES,TYPE,AFFILIATION,AFFLIATION_CLAIMED?,PART_OF,OFFICIAL_OR_INSPIRED,MUSLIM_MAJORITY_NATION,FORCED_TO_FLEE,ECONOMIC_COST,ORGANIZED_OR_REACTIVE,WEAPON_USED,MODUS_OPERANDI,SURVEILLED,PRIOR SUSPICION,ACTED_ALONE_OR_IN_GROUP
20060711IND,2006-07-11,India,2006 Mumbai train bombings: Seven bomb blasts over a period of 11 minutes on the Suburban Railway in Mumbai.[42],,209,700+,,,,,,,,FALSE,,,,,,,,
20060530ISR,2006-05-30,Israel,Kedumim bombing.,,4,0,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20060430IND,2006-04-30,India,2006 Doda massacre: Thirty-five Hindus killed by Islamist terrorists in the Doda district in Jammu and Kashmir.,,35,0,,,,,,,,FALSE,,,,,,,,
20060424EGY,2006-04-24,Egypt,2006 Dahab bombings.,,23,80 (approx.),,,,,,,,TRUE,,,,,,,,
20060417ISR,2006-04-17,Israel,2006 Tel Aviv shawarma restaurant bombing.,,11,70,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20060307IND,2006-03-7,India,A series of bombings occurred across the Hindu holy city of Varanasi.,,28,101,,,,,,,,FALSE,,,,,,,,
20060302PAK,2006-03-2,Pakistan,"A suicide car bomb exploded outside the Marriott Hotel, about 20 yards away from the U.S. consulate in Karachi.",,4,30,,,,,,,,TRUE,,,,,,,,
20051231INO,2005-12-31,Indonesia,"A nail bomb explodes in a butcher's shop frequented by Christians in Palu, Indonesia.",,8,53,,,,,,,,TRUE,,,,,,,,
20051205ISR,2005-12-5,Israel,5 December 2005 HaSharon Mall suicide bombing.,,5,40+,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20051109JOR,2005-11-9,Jordan,"2005 Amman bombings. A series of coordinated suicide attacks on hotels in Amman, Jordan.[39][40] Four attackers including a husband and wife team were involved.[41]",http://news.bbc.co.uk/2/hi/middle_east/4432964.stm,60,115+,,,,,,,,TRUE,,,,,,,,
20051030INO,2005-10-30,Indonesia,Muslim militants on the Indonesian island of Sulawesi behead three Christian girls.,,3,0,,,,,,,,TRUE,,,,,,,,
20051029IND,2005-10-29,India,2005 Tentena market bombings. Over 60 killed and over 180 injured in a series of three attacks in crowded markets and a bus.[38],http://in.rediff.com/news/2005/oct/30delhi4.htm,60,180+,,,,,,,,FALSE,,,,,,,,
20051026ISR,2005-10-26,Israel,Hadera Market bombing.,,7,55,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20051001INO,2005-10-1,Indonesia,"2005 Bali bombings in Jimbaran , Kuta & Bali, Indonesia.",,20,100+,,,,,,,,TRUE,,,,,,,,
20050817BAN,2005-08-17,Bangladesh,The 2005 Bangladesh bombings are carried out by Jama'atul Mujahideen Bangladesh.,,2,50,,,,,,,,TRUE,,,,,,,,
20050723EGY,2005-07-23,Egypt,"Bomb attacks by the Abdullah Azzam Brigades hit Sharm el-Sheikh, an Egyptian resort city.",,64,150,,,,,,,,TRUE,,,,,,,,
20050712ISR,2005-07-12,Israel,12 July 2005 HaSharon Mall suicide bombing.,,5,90+,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20050707UNI,2005-07-7,United Kingdom,Multiple bombings in London.,,53,700+,,,,,,,,FALSE,,,,,,,,
20050705IND,2005-07-5,India,"Attack on the Hindu Ram temple in Ayodhya, India.",,6,0,,,,,,,,FALSE,,,,,,,,
20050528INO,2005-05-28,Indonesia,2005 Tentena market bombings.,,22,90,,,,,,,,TRUE,,,,,,,,
20050225ISR,2005-02-25,Israel,Stage Club bombing.,,5,50+,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20050214LEB,2005-02-14,Lebanon,"Assassination of Rafic Hariri The former Prime Minister of Lebanon, Rafic Hariri, was among 22 people killed when 1,000 kg of TNTexploded near his motorcade in Beirut.",,22,0,,,,,,,,TRUE,,,,,,,,
20050113ISR,2005-01-13,Israel,Karni border crossing attack.,,6,4,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20041206SAU,2004-12-6,Saudi Arabia,"Five militants attacked the American consulate in Jeddah. Three attackers were killed by Saudi security forces, and the other two attackers were wounded and arrested.[37]",https://www.theguardian.com/world/2004/dec/06/saudiarabia.usa,9,10,,,,,,,,TRUE,,,,,,,,
20041113INO,2004-11-13,Indonesia,2004 Poso bus bombing. An IED targeting a bus traveling to the majority Christian village of Silancak.,,6,3,,,,,,,,TRUE,,,,,,,,
20041102NET,2004-11-2,Netherlands,The murder of Theo van Gogh by Amsterdam-born jihadist Mohammed Bouyeri.[36],http://news.bbc.co.uk/2/hi/europe/3974179.stm,1,0,,,,,,,,FALSE,,,,,,,,
20041007EGY,2004-10-7,Egypt,The 2004 Sinai bombings were three bomb attacks that targeted tourist hotels in Egypt's Sinai Peninsula.,,34,171,,,,,,,,TRUE,,,,,,,,
20040915SAU,2004-09-15,Saudi Arabia,A British national working for the Marconi Company was shot to death in his car in Riyadh.[35],http://www.dailymail.co.uk/news/article-318081/Briton-murdered-Saudi-shopping-centre.html,1,0,,,,,,,,TRUE,,,,,,,,
20040909INO,2004-09-9,Indonesia,"2004 Australian Embassy bombing in Jakarta, Indonesia. A suicide bomber exploded a one-ton car bomb, which was packed into a smallDaihatsu delivery van, outside the Australian embassy at Kuningan District, South Jakarta.",,9,150+,,,,,,,,TRUE,,,,,,,,
